second,pathA_quic_mbps,pathB_quic_mbps,total_quic_mbps,session_key,session_label,role,global_t0,run_id
23,21.351168,0.444584,21.795752,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
24,21.52344,0.440448,21.963888,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
25,21.518352,0.439224,21.957576,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
26,21.52436,0.440448,21.964808,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
27,20.985208,0.443384,21.428592000000002,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
28,21.618184,0.441048,22.059231999999998,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
29,21.650672,0.440448,22.09112,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
30,21.657952,0.437448,22.0954,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
31,20.895928,0.439072,21.335,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
32,21.55208,0.438048,21.990128,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
33,21.778776,0.439848,22.218624000000002,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
34,21.773392,0.437448,22.21084,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
35,21.385976,0.439184,21.82516,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
36,21.585648,0.438048,22.023695999999997,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
37,21.889216,0.438648,22.327864,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
38,21.873688,0.439248,22.312936,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
39,21.891824,0.436248,22.328072,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
40,21.305736,0.438648,21.744384,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
41,21.98096,0.437448,22.418408,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
42,22.007712,0.436848,22.444560000000003,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
43,21.967456,0.437448,22.404904,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
44,21.384816,0.437448,21.822264,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
45,22.093088,0.450488,22.543576,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
46,22.115848,0.434568,22.550416,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
47,22.076192,0.435648,22.51184,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
48,21.48364,0.436248,21.919888,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
49,22.210368,0.435048,22.645415999999997,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
50,22.26692,0.435648,22.702568,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
51,22.136496,0.434448,22.570944,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
52,21.569912,0.435584,22.005495999999997,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
53,22.366392,0.443296,22.809688,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
54,22.33272,0.444184,22.776904,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
55,22.259248,0.447264,22.706512,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
56,21.662144,0.447264,22.109408000000002,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
57,22.461776,0.445392,22.907168,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
58,22.447832,0.444184,22.892015999999998,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
59,22.366384,0.4448,22.811184,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
60,21.768112,0.446648,22.21476,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
61,22.594208,0.4448,23.039008,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
62,22.522208,0.4448,22.967008,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
63,22.46812,0.444576,22.912696,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
64,21.874976,0.446032,22.321008,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
65,22.737456,0.442336,23.179792000000003,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
66,22.642192,0.445416,23.087608000000003,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
67,22.101168,0.442952,22.54412,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
68,22.399384,0.444184,22.843568,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
69,22.867536,0.444184,23.31172,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
70,22.678592,0.442336,23.120928,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
71,21.922496,0.443568,22.366063999999998,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
72,22.861152,0.444184,23.305336,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
