second,pathA_quic_mbps,pathB_quic_mbps,total_quic_mbps,session_key,session_label,role,global_t0,run_id
90,21.12676,0.4448,21.57156,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
91,21.032888,0.4448,21.477688,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
92,21.145928,0.444184,21.590112,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
93,21.162704,0.443544,21.606248,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
94,21.231384,0.445416,21.6768,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
95,21.181944,0.442336,21.624280000000002,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
96,21.20948,0.443568,21.653048,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
97,21.270312,0.444184,21.714496,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
98,21.318192,0.444184,21.762376,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
99,21.307544,0.443568,21.751112,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
100,21.296256,0.442336,21.738592,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
101,21.371512,0.442336,21.813848,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
102,21.435864,0.442336,21.8782,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
103,21.418648,0.441104,21.859752,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
104,21.418768,0.442336,21.861104,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
105,21.44984,0.44172,21.89156,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
106,21.53104,0.442336,21.973376000000002,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
107,21.45216,0.44172,21.89388,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
108,21.58124,0.440488,22.021728,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
109,21.566448,0.441104,22.007552,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
110,21.630008,0.441104,22.071112,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
111,21.530192,0.441104,21.971296,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
112,21.635672,0.438616,22.074288,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
113,21.730568,0.440488,22.171056,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
114,21.790328,0.440488,22.230815999999997,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
115,21.572424,0.439872,22.012296000000003,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
116,21.767352,0.440488,22.207839999999997,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
117,21.877312,0.43864,22.315952,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
118,21.787768,0.439256,22.227024,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
119,21.757152,0.439872,22.197024000000003,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
120,21.89624,0.439256,22.335496,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
121,21.974024,0.436792,22.410816,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
122,21.776464,0.439872,22.216336000000002,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
123,21.865176,0.43864,22.303816,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
124,22.016992,0.436792,22.453784,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
125,22.065736,0.437408,22.503144000000002,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
126,21.92264,0.438024,22.360664,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
127,21.990688,0.439032,22.42972,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
128,22.160592,0.436176,22.596768,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
129,22.128584,0.438024,22.566608,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
130,21.948888,0.437408,22.386296,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
131,22.148424,0.436792,22.585216,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
132,22.295552,0.435536,22.731088,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
133,22.020256,0.437408,22.457664,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
134,22.174584,0.436792,22.611376,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
135,22.330344,0.436176,22.76652,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
136,22.288944,0.434328,22.723272,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
137,22.132408,0.436792,22.569200000000002,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
138,22.299744,0.43556,22.735304,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
139,22.405624,0.434944,22.840568,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
140,22.46732,0.434944,22.902264000000002,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
141,22.19704,0.434328,22.631368000000002,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
142,22.416832,0.434944,22.851776,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
143,22.527096,0.43556,22.962656,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
144,22.355616,0.433072,22.788688,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
145,22.369616,0.434328,22.803944,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
146,22.6948,0.434944,23.129744000000002,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
147,22.55032,0.433712,22.984032,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
148,22.351512,0.433712,22.785224,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
149,22.657824,0.43248,23.090304000000003,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
150,22.715272,0.433712,23.148984,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
151,22.421976,0.44272,22.864696000000002,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
152,22.503296,0.437088,22.940383999999998,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
153,22.853464,0.431864,23.285328,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
154,22.782784,0.431248,23.214032,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
155,22.452816,0.43248,22.885295999999997,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
156,22.823688,0.431864,23.255552,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
157,22.895344,0.431248,23.326592,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
158,22.697488,0.430632,23.12812,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
159,22.695616,0.431864,23.127480000000002,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
160,23.008328,0.431248,23.439576,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
161,22.879064,0.4294,23.308464,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
162,22.720512,0.430632,23.151144,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
163,22.98488,0.4294,23.41428,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
164,23.073976,0.43184,23.505816,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
165,22.766328,0.430632,23.19696,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
166,22.983192,0.430016,23.413207999999997,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
167,23.114656,0.4294,23.544056,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
168,22.957032,0.430016,23.387048,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
169,22.920024,0.430016,23.35004,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
170,23.22416,0.430016,23.654176,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
171,23.209392,0.4294,23.638792000000002,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
172,22.966752,0.428168,23.39492,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
173,23.21872,0.428784,23.647504,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
174,23.2628,0.42876,23.69156,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
175,23.034144,0.428168,23.462312,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
176,23.240656,0.427552,23.668208,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
177,23.3626,0.427552,23.790152,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
178,23.152176,0.428784,23.58096,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
179,23.20836,0.427552,23.635911999999998,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
180,23.46664,0.426936,23.893576000000003,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
181,23.48828,0.427552,23.915831999999998,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
182,23.123896,0.426912,23.550808,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
183,23.46712,0.425704,23.892824,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
184,23.534168,0.427552,23.96172,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
185,23.325736,0.42632,23.752056,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
186,23.467936,0.42632,23.894256000000002,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
187,23.658824,0.425088,24.083911999999998,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
188,23.331568,0.42632,23.757888,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
189,23.458904,0.425088,23.883992,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
190,23.741384,0.42568,24.167064,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
191,23.442424,0.42632,23.868744,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
192,23.4816,0.423856,23.905456,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
193,23.882352,0.425088,24.30744,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
194,23.670072,0.424472,24.094544000000003,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
195,23.304048,0.424472,23.728520000000003,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
196,23.91388,0.423856,24.337736,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
197,23.810216,0.424472,24.234688000000002,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
198,23.511104,0.425064,23.936168,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
199,23.89108,0.422624,24.313703999999998,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
200,23.845824,0.423856,24.26968,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
201,23.535448,0.424472,23.95992,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
202,23.962464,0.422624,24.385088,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
203,23.93244,0.422624,24.355064,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
204,23.723952,0.422624,24.146576,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
205,23.853592,0.423856,24.277448,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
206,24.079568,0.421984,24.501551999999997,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
207,23.74252,0.422624,24.165143999999998,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
208,23.93272,0.422008,24.354728,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
209,24.07536,0.421392,24.496752,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
210,23.834168,0.421392,24.25556,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
211,23.984584,0.422624,24.407208,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
212,24.185696,0.420776,24.606472,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
213,23.881712,0.421368,24.30308,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
214,24.110736,0.42016,24.530896,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
215,24.201928,0.42016,24.622087999999998,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
216,23.973336,0.419544,24.392879999999998,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
217,24.17628,0.42016,24.596439999999998,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
218,24.268568,0.420776,24.689344,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
219,24.044504,0.420136,24.46464,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
220,24.24436,0.418312,24.662672,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
