time_s,tp_mbps
207.0,27.436552
208.0,27.32648
209.0,27.615624
210.0,27.561024
211.0,27.515936
212.0,27.584392
213.0,27.778752
214.0,26.678888
215.0,26.974072
216.0,27.731688
217.0,27.8292
218.0,27.731744
219.0,27.774552
220.0,27.998208
221.0,28.047792
222.0,28.030776
223.0,28.132032
224.0,29.327072
225.0,30.13424
226.0,29.976448
227.0,29.801168
228.0,30.79632
229.0,29.675688
230.0,30.906576
231.0,29.759152
232.0,30.128936
233.0,31.052304
234.0,30.849216
235.0,30.971968
236.0,29.912944
237.0,31.140192
238.0,30.228416
239.0,29.996968
240.0,31.674376
241.0,30.294432
242.0,30.23584
243.0,31.77448
244.0,30.364736
245.0,30.30636
246.0,31.80852
247.0,30.42776
248.0,30.43556
249.0,32.092416
250.0,30.286576
251.0,30.507216
252.0,31.826304
253.0,30.731824
254.0,30.66404
255.0,31.306616
256.0,31.852776
257.0,30.694608
258.0,30.682496
259.0,32.161328
260.0,30.862576
261.0,30.89756
262.0,31.521416
263.0,31.982984
264.0,30.759344
265.0,30.991176
266.0,31.7358
267.0,32.157088
268.0,30.994584
269.0,30.964264
270.0,31.55644
271.0,32.605256
272.0,30.830536
273.0,31.23504
274.0,31.490008
275.0,32.634792
276.0,31.447792
277.0,31.388816
278.0,31.376664
279.0,32.325128
280.0,32.261368
281.0,31.142832
282.0,31.589184
283.0,31.682928
284.0,32.243952
285.0,32.559016
286.0,31.347656
287.0,31.703456
288.0,31.608488
289.0,31.767072
290.0,32.693504
291.0,32.520392
292.0,32.969896
293.0,34.683704
294.0,32.664112
295.0,34.73336
296.0,33.069112
297.0,34.320912
298.0,33.575368
299.0,33.903728
300.0,34.052528
301.0,33.392264
302.0,34.508496
303.0,33.216808
304.0,34.869704
305.0,33.128688
306.0,34.192456
307.0,34.339128
308.0,33.390552
309.0,34.674992
310.0,33.071384
311.0,34.653152
312.0,34.09728
313.0,33.629648
314.0,34.89384
315.0,33.102216
316.0,34.184968
317.0,34.726616
318.0,33.305232
319.0,34.471888
320.0,34.344864
321.0,33.402976
322.0,34.613584
323.0,34.214592
324.0,33.71208
325.0,34.511944
326.0,34.347992
327.0,33.643952
328.0,34.473192
329.0,34.547312
330.0,33.773008
331.0,34.096776
332.0,35.19352
333.0,33.559488
334.0,33.442176
335.0,35.220808
336.0,34.105872
337.0,34.120936
338.0,34.077512
339.0,35.449048
340.0,33.743336
341.0,33.674672
342.0,35.218984
343.0,34.578384
344.0,33.970976
345.0,34.091576
346.0,35.59784
347.0,33.8446
348.0,34.518096
349.0,37.668152
350.0,38.147208
351.0,37.545952
352.0,37.468608
353.0,38.490552
354.0,38.241672
355.0,37.343464
356.0,37.312592
357.0,39.063056
358.0,37.896584
359.0,37.547352
360.0,37.972416
361.0,38.945232
362.0,37.315528
363.0,37.428496
364.0,39.428328
365.0,37.534968
366.0,37.265944
367.0,39.059536
368.0,37.99788
369.0,37.94588
370.0,38.565944
371.0,38.212064
372.0,38.305416
373.0,38.338128
374.0,38.467664
375.0,38.159776
376.0,38.5512
377.0,38.397064
378.0,38.216544
379.0,38.728216
380.0,38.165936
381.0,37.952648
382.0,39.215304
383.0,37.813448
384.0,38.5194
385.0,38.579472
386.0,38.302712
387.0,38.985744
388.0,37.902648
389.0,38.809984
390.0,38.395832
391.0,38.057064
392.0,36.8988
393.0,38.237352
394.0,39.039736
395.0,38.371144
396.0,39.049952
397.0,38.05424
398.0,39.154016
399.0,37.688872
400.0,39.253024
401.0,37.86764
402.0,39.321264
403.0,38.06076
404.0,39.098096
405.0,37.85912
406.0,39.344408
407.0,38.093336
408.0,39.606128
409.0,37.578824
410.0,39.718536
411.0,37.657248
412.0,39.971704
413.0,37.408216
414.0,39.874864
415.0,37.588808
416.0,39.868288
417.0,38.348672
418.0,38.926056
419.0,38.64112
420.0,38.732584
421.0,39.548816
422.0,37.765816
423.0,39.932424
424.0,37.734144
425.0,4.815728
