method,time_s,total_mbps,pathA_mbps,pathB_mbps,path_b_share_pct
baseline,172.0,24.875511999999997,24.43548,0.440032,1.7689364544536814
baseline,173.0,25.391216,24.940688,0.450528,1.7743458997788841
baseline,174.0,26.090152,25.650664,0.439488,1.684497660266602
baseline,175.0,24.905776000000003,24.4688,0.436976,1.754516703273971
baseline,176.0,25.437912,24.987368,0.450544,1.7711516574159074
baseline,177.0,26.327128,25.889408,0.43772,1.662619637052701
baseline,178.0,25.766504,25.330048,0.436456,1.6938890894938639
baseline,179.0,24.612232000000002,24.164688,0.447544,1.8183803890683297
baseline,180.0,26.411952000000003,25.953576,0.458376,1.7354870249650611
baseline,181.0,26.270176,25.821568,0.448608,1.7076703254671761
baseline,182.0,25.04812,24.590976,0.457144,1.825063118509493
baseline,183.0,25.758976,25.296136,0.46284,1.7968105564444798
baseline,184.0,26.419952,25.960392,0.45956,1.7394429785489391
baseline,185.0,26.376672,25.92568,0.450992,1.7098138840260062
baseline,186.0,24.820248,24.365464,0.454784,1.8323104587834902
baseline,187.0,26.144568,25.68124,0.463328,1.772176920268868
baseline,188.0,26.475648,26.020128,0.45552,1.7205244608177295
baseline,189.0,26.216728,25.765,0.451728,1.7230525487391104
baseline,190.0,24.982352,24.525056,0.457296,1.8304761697377412
baseline,191.0,26.448592,25.991472,0.45712,1.7283339695360722
baseline,192.0,26.550600000000003,26.094536,0.456064,1.7177163604588972
baseline,193.0,25.171896,24.720216,0.45168,1.7943821156737656
baseline,194.0,26.051536,25.594264,0.457272,1.7552592676301315
baseline,195.0,26.508928,26.053528,0.4554,1.717911791831039
baseline,196.0,26.653176,26.199008,0.454168,1.7039920495778818
baseline,197.0,25.094088,24.642456,0.451632,1.7997545876144212
baseline,198.0,26.386464,25.92868,0.457784,1.7349198437501896
baseline,199.0,26.421496,25.971072,0.450424,1.7047634244480327
baseline,200.0,25.313992000000002,24.863568,0.450424,1.7793479590259804
baseline,201.0,26.09468,25.636176,0.458504,1.7570784543056286
baseline,202.0,26.746376,26.294104,0.452272,1.690965534919572
baseline,203.0,26.63884,26.18716,0.45168,1.6955693265922993
baseline,204.0,25.215168,24.763488,0.45168,1.7913027587204655
baseline,205.0,26.513808,26.056536,0.457272,1.7246560735447736
baseline,206.0,26.791104,26.341248,0.449856,1.6791245332779117
baseline,207.0,25.360752,24.90912,0.451632,1.7808304737966758
baseline,208.0,26.419416000000002,25.9616,0.457816,1.732877062838936
baseline,209.0,26.9356,26.485792,0.449808,1.6699386685278963
baseline,210.0,26.91024,26.461016,0.449224,1.6693422280886383
baseline,211.0,25.231912,24.780232,0.45168,1.7901140428834723
baseline,212.0,26.693096,26.2342,0.458896,1.7191561443453394
baseline,213.0,26.965032,26.483024,0.482008,1.787529864603906
