timestamp_ms,run_id,path_id,bw_bps,owd_ms,delay_gradient_ms,loss_rate,lost_bytes_delta,retrans_bytes_delta,cwnd_bytes,inflight_bytes,cwnd_room,alpha,beta,gamma,utility,gain,backoff,next_bw_bps,next_goodput_bps,active,g_total,norm_g,norm_l,norm_d_current,norm_d_proposed,g_total_used,utility_recomputed,u_reward,u_loss_penalty,u_delay_penalty,gain_throughput_term,gain_loss_term,gain_delay_term,gain_raw,gain_clamped,retention_raw,retention_clamped,retention_throughput_term,retention_loss_term,retention_delay_term,gain_at_min,gain_at_max,ret_at_min,ret_at_max,prop_ack_gain_raw,prop_ack_gain_clamped,prop_retention_raw,prop_retention_clamped,cur_ack_growth_factor,prop_ack_growth_factor,cur_loss_retain_frac,prop_loss_retain_frac,prop_ack_gain_applied,prop_retention_applied
1781479699769,20260614_232546,1,5137344,291.014,0.0,0.0,0,0,46720,100,46620,0.659,0.257,0.1528,0.6517,1.1165,0.9587,5137344,,True,0.6025962666666667,0.1712448,0.0,0.7,0.0,0.6025962666666667,0.651751424019684,0.7162051207023507,0.0,0.06445369668266666,0.14324102414047013,-0.0,-0.026739999999999996,1.1165010241404703,1.1165010241404703,0.9587475903438119,0.9587475903438119,-0.057296409656188055,0.0,0.016043999999999996,False,False,False,False,1.021972307242141,1.021972307242141,0.985351795171906,0.985351795171906,1.1165010241404703,1.021970952457393,0.6711233132406682,0.6897468888532167,1.021970952457393,0.9853526983617382
1781479699769,20260614_232546,3,7803200,191.5925,0.0,0.0,0,0,46720,0,46720,0.659,0.257,0.1528,0.6517,1.1165,0.9587,7803200,,True,0.6025962666666667,0.26010666666666665,0.0,0.7,0.0,0.6025962666666667,0.651751424019684,0.7162051207023507,0.0,0.06445369668266666,0.14324102414047013,-0.0,-0.026739999999999996,1.1165010241404703,1.1165010241404703,0.9587475903438119,0.9587475903438119,-0.057296409656188055,0.0,0.016043999999999996,False,False,False,False,1.021972307242141,1.021972307242141,0.985351795171906,0.985351795171906,1.1165010241404703,1.0219723072418614,0.6711233132406682,0.6897462566204647,1.0219723072418614,0.9853517951720925
1781479699771,20260614_232546,0,5137344,291.014,0.0,0.0,0,0,46720,0,46720,0.659,0.257,0.1528,0.6517,1.1165,0.9587,5137344,,True,0.6025962666666667,0.1712448,0.0,0.7,0.0,0.6025962666666667,0.651751424019684,0.7162051207023507,0.0,0.06445369668266666,0.14324102414047013,-0.0,-0.026739999999999996,1.1165010241404703,1.1165010241404703,0.9587475903438119,0.9587475903438119,-0.057296409656188055,0.0,0.016043999999999996,False,False,False,False,1.021972307242141,1.021972307242141,0.985351795171906,0.985351795171906,1.1165010241404703,1.0218010223965863,0.6711233132406682,0.6898261895482598,1.0218010223965863,0.9854659850689427
1781479699771,20260614_232546,1,5137344,291.014,0.0,0.0,0,0,46720,100,46620,0.659,0.257,0.1528,0.6517,1.1165,0.9587,5137344,,True,0.6025962666666667,0.1712448,0.0,0.7,0.0,0.6025962666666667,0.651751424019684,0.7162051207023507,0.0,0.06445369668266666,0.14324102414047013,-0.0,-0.026739999999999996,1.1165010241404703,1.1165010241404703,0.9587475903438119,0.9587475903438119,-0.057296409656188055,0.0,0.016043999999999996,False,False,False,False,1.021972307242141,1.021972307242141,0.985351795171906,0.985351795171906,1.1165010241404703,1.0219712234143428,0.6711233132406682,0.6897467624066402,1.0219712234143428,0.9853525177237719
1781479699771,20260614_232546,3,7803200,191.5925,0.0,0.0,0,0,46720,0,46720,0.659,0.257,0.1528,0.6517,1.1165,0.9587,7803200,,True,0.6025962666666667,0.26010666666666665,0.0,0.7,0.0,0.6025962666666667,0.651751424019684,0.7162051207023507,0.0,0.06445369668266666,0.14324102414047013,-0.0,-0.026739999999999996,1.1165010241404703,1.1165010241404703,0.9587475903438119,0.9587475903438119,-0.057296409656188055,0.0,0.016043999999999996,False,False,False,False,1.021972307242141,1.021972307242141,0.985351795171906,0.985351795171906,1.1165010241404703,1.0219723072419173,0.6711233132406682,0.6897462566204385,1.0219723072419173,0.9853517951720552
1781479699772,20260614_232546,0,5137344,291.014,0.0,0.0,0,0,46720,0,46720,0.659,0.257,0.1528,0.6517,1.1165,0.9587,5137344,,True,0.6025962666666667,0.1712448,0.0,0.7,0.0,0.6025962666666667,0.651751424019684,0.7162051207023507,0.0,0.06445369668266666,0.14324102414047013,-0.0,-0.026739999999999996,1.1165010241404703,1.1165010241404703,0.9587475903438119,0.9587475903438119,-0.057296409656188055,0.0,0.016043999999999996,False,False,False,False,1.021972307242141,1.021972307242141,0.985351795171906,0.985351795171906,1.1165010241404703,1.0218352793656973,0.6711233132406682,0.6898102029626747,1.0218352793656973,0.9854431470895354
1781479699772,20260614_232546,1,5137344,291.014,0.0,0.0,0,0,46720,100,46620,0.659,0.257,0.1528,0.6517,1.1165,0.9587,5137344,,True,0.6025962666666667,0.1712448,0.0,0.7,0.0,0.6025962666666667,0.651751424019684,0.7162051207023507,0.0,0.06445369668266666,0.14324102414047013,-0.0,-0.026739999999999996,1.1165010241404703,1.1165010241404703,0.9587475903438119,0.9587475903438119,-0.057296409656188055,0.0,0.016043999999999996,False,False,False,False,1.021972307242141,1.021972307242141,0.985351795171906,0.985351795171906,1.1165010241404703,1.0219714401799025,0.6711233132406682,0.6897466612493791,1.0219714401799025,0.9853523732133987
1781479699772,20260614_232546,3,7803200,191.5925,0.0,0.0,0,0,46720,0,46720,0.659,0.257,0.1528,0.6517,1.1165,0.9587,7803200,,True,0.6025962666666667,0.26010666666666665,0.0,0.7,0.0,0.6025962666666667,0.651751424019684,0.7162051207023507,0.0,0.06445369668266666,0.14324102414047013,-0.0,-0.026739999999999996,1.1165010241404703,1.1165010241404703,0.9587475903438119,0.9587475903438119,-0.057296409656188055,0.0,0.016043999999999996,False,False,False,False,1.021972307242141,1.021972307242141,0.985351795171906,0.985351795171906,1.1165010241404703,1.021972307241962,0.6711233132406682,0.6897462566204178,1.021972307241962,0.9853517951720254
1781479699775,20260614_232546,0,5137344,291.014,0.0,0.0,0,0,46720,0,46720,0.659,0.257,0.1528,0.6517,1.1165,0.9587,5137344,,True,0.6025962666666667,0.1712448,0.0,0.7,0.0,0.6025962666666667,0.651751424019684,0.7162051207023507,0.0,0.06445369668266666,0.14324102414047013,-0.0,-0.026739999999999996,1.1165010241404703,1.1165010241404703,0.9587475903438119,0.9587475903438119,-0.057296409656188055,0.0,0.016043999999999996,False,False,False,False,1.021972307242141,1.021972307242141,0.985351795171906,0.985351795171906,1.1165010241404703,1.0218626849409862,0.6711233132406682,0.6897974136942067,1.0218626849409862,0.9854248767060095
1781479699775,20260614_232546,1,5137344,291.014,0.0,0.0,0,0,46720,100,46620,0.659,0.257,0.1528,0.6517,1.1165,0.9587,5137344,,True,0.6025962666666667,0.1712448,0.0,0.7,0.0,0.6025962666666667,0.651751424019684,0.7162051207023507,0.0,0.06445369668266666,0.14324102414047013,-0.0,-0.026739999999999996,1.1165010241404703,1.1165010241404703,0.9587475903438119,0.9587475903438119,-0.057296409656188055,0.0,0.016043999999999996,False,False,False,False,1.021972307242141,1.021972307242141,0.985351795171906,0.985351795171906,1.1165010241404703,1.0219716135923502,0.6711233132406682,0.6897465803235702,1.0219716135923502,0.9853522576051003
