run_order,candidate_id,replicate,alpha,beta,gamma,intervention_s,seed,is_sham
112,a0.8_b0.3_g0.1,2,0.8,0.3,0.1,65,20260730,0
113,a0.6_b0.1_g0.2,2,0.6,0.1,0.2,70,20260730,0
114,a0.8_b0.3_g0.2,1,0.8,0.3,0.2,75,20260730,0
115,a0.8_b0.1_g0.2,2,0.8,0.1,0.2,65,20260730,0
116,a0.7_b0.1_g0.2,2,0.7,0.1,0.2,70,20260730,0
117,a0.7_b0.3_g0.1,4,0.7,0.3,0.1,75,20260730,0
118,a0.6_b0.2_g0.2,2,0.6,0.2,0.2,65,20260730,0
119,a0.7_b0.2_g0.1,3,0.7,0.2,0.1,70,20260730,0
120,a0.7_b0.3_g0.3,4,0.7,0.3,0.3,75,20260730,0
121,a0.7_b0.1_g0.1,1,0.7,0.1,0.1,65,20260730,0
122,a0.8_b0.1_g0.1,2,0.8,0.1,0.1,70,20260730,0
123,a0.8_b0.2_g0.3,4,0.8,0.2,0.3,75,20260730,0
124,a0.6_b0.2_g0.3,3,0.6,0.2,0.3,65,20260730,0
125,a0.7_b0.1_g0.2,3,0.7,0.1,0.2,70,20260730,0
126,a0.8_b0.2_g0.1,3,0.8,0.2,0.1,75,20260730,0
127,a0.8_b0.1_g0.1,3,0.8,0.1,0.1,65,20260730,0
128,a0.6_b0.2_g0.1,4,0.6,0.2,0.1,70,20260730,0
129,a0.8_b0.3_g0.3,5,0.8,0.3,0.3,75,20260730,0
130,a0.7_b0.3_g0.1,1,0.7,0.3,0.1,65,20260730,0
131,a0.8_b0.2_g0.1,4,0.8,0.2,0.1,70,20260730,0
132,a0.6_b0.3_g0.3,1,0.6,0.3,0.3,75,20260730,0
133,a0.7_b0.3_g0.2,2,0.7,0.3,0.2,65,20260730,0
134,a0.7_b0.1_g0.3,3,0.7,0.1,0.3,70,20260730,0
135,a0.7_b0.3_g0.3,2,0.7,0.3,0.3,75,20260730,0
